url,file_type,is_subscriber_content
https://drive.google.com/drive/folders/1TzuQ-qE1f8TZIAeB1Bc_BqJU2ghTmdQP,,True
https://drive.google.com/drive/folders/1Akvx7ri-V78ZzGHQWyuIaeGpy92vDbxI,,True
https://drive.google.com/drive/folders/1145pGKVCQdjxec80C4h1NpDUMzfZw2a5,,False
https://drive.google.com/drive/folders/1KF3LbisMyEYZM7Nl3LXtHQIlQMFTWj4l,,False
https://drive.google.com/drive/folders/12E493Ni-rKTlpd1uLoOqLe3sRN4USO7X,,True
https://drive.google.com/drive/folders/1Zk9MBbHDst2yKL0q9IiYL6NKDCBc66lL,,True
https://drive.google.com/drive/folders/1R3UJ4s3fWLBR6tlawin-8c2vzriQ8wKx,,True
https://drive.google.com/drive/folders/11Db66qfyzoGdTS59-BR_Y672rIm2bL_1,,True
https://drive.google.com/drive/folders/1Tjcc_VB6lVMgUGi-g0sSGqS2hRI25DEa,,True
https://drive.google.com/drive/folders/1JdIahXPXxftafRLI0eAnjuN3WoFvN523,,True
https://drive.google.com/drive/folders/1cmhL9wtVmJtFDYKCFGHBwgd13d3xzTrs,,True
https://drive.google.com/drive/folders/15UpzstJPjKPCOG4XIuLHe_dCWn7V3nDB,,True
https://drive.google.com/drive/folders/1z4MJk_YwFeaT9IOpWDgDJFNDV8eVIZ9b,,True
https://drive.google.com/drive/folders/1v6kB4veDTxW2r_jfguT3kVvDGvrApo4I,,True
https://drive.google.com/drive/folders/123Tti5SNXGFFw2BWriF6bYIUwM3p33s5,,True
https://drive.google.com/drive/folders/1NWXTqwM-fu5uuG4Ix_yivmEieKD6NwPH,,False
https://drive.google.com/drive/folders/1QRDMXLQBipIGQ8Kpqfdc0EaDKEWlgc9G,,True
https://drive.google.com/drive/folders/19ANbMRmcCMwCS-BiLPaahTbUIjn2PKqy,,False
https://drive.google.com/drive/folders/1czlV76-ODnXnT6RpvyV9uLmm-iARpabv,,False
https://drive.google.com/drive/folders/1DvTUbdhKMvJxifXI-6LvOx7PjSkDpKgM,,False
https://drive.google.com/drive/folders/1LIlhYmCPL-9dsO4Xakwo7upqp7Gi_wSt,,False
https://drive.google.com/drive/folders/1YARhnGhlS1dRNYOCov3jfc4EEApQM6t-,,False
https://spaces.at.internet2.edu/spaces/NPC/blog/2025/09/17/355434503/NET+AWS+Town+Hall+Empowering+Higher+Education+with+AWS+s+Latest+AI+and+Data+Innovations+from+NYC+Summit+2025,,False
https://drive.google.com/drive/folders/1PzwC5_CVusSeIgSWbTbCl5mLe_maQe35,,False
https://drive.google.com/drive/folders/1IJyqMAYh5RDArOQOn--ZOHMq1racJovQ,,False
https://drive.google.com/drive/folders/1zXfj0nn1wp5z3Fc5ZuoTqvLgOhE0quf2,,False
https://drive.google.com/drive/folders/1UtV1obmYpBqpYpjitffdT6kdblBWgYEV,,False
https://drive.google.com/drive/folders/13OigCiF1soJDwI54XTjrWrBFltccWFJX,,False
https://drive.google.com/drive/folders/1LfrMAwBtF-3Ndk4t9crvtfgd2IQMxkoT,,False
https://drive.google.com/drive/folders/1cvLBub2iHpXcioKX9oOLXX4y9R3QRaeM,,False
https://drive.google.com/drive/folders/1katiG4rIElk2NC5E1NzxOEIa7jepiQnH,,False
https://spaces.at.internet2.edu/pages/viewpage.action?pageId=322207982,action,False
https://drive.google.com/drive/folders/1V9TGn6mz7DlC4Ue8VZLBBx43qEYd_G_2,,False
https://drive.google.com/drive/folders/13CiH9pKBxAI5zl-LrgjY-ZiV_zC5FxmX,,False
https://drive.google.com/drive/folders/1Ep1zf8AznKdNOmrJIX12nkl99YfNj1N7,,False
https://drive.google.com/drive/folders/1kDdvPUguHT0AVk2TdiUtbixzvKkqzDbS,,False
https://drive.google.com/drive/folders/1aZZNzxLltrzXA5BqdxjJIVZieTJCslfs,,False
https://drive.google.com/drive/folders/1WIlFQNGle9SCNLEnXVmcpW0uRuq61oyo,,False
https://drive.google.com/drive/folders/1PxX6Aq4L08IfxQ3g5XLKNBIfxqcGGHEI,,False
https://spaces.at.internet2.edu/pages/viewpage.action?pageId=310247609,action,False
https://spaces.at.internet2.edu/pages/viewpage.action?pageId=307429612,action,False
https://drive.google.com/drive/folders/1F5MIvN9OrLALUHB8UcA2VhDWhOM0hYqF,,False
https://drive.google.com/drive/folders/1oK2DALB_ikdIaiCWnZHWwCd_uzGLQRTD,,False
https://drive.google.com/drive/folders/1nKtmq2Yzh89MNUzHdeoxYt3crH7hVXrg,,False
https://drive.google.com/drive/folders/1Ptec2zS8s0eB2tglsfSna4NHJxKDl0eK,,False
https://drive.google.com/drive/folders/1NQJwUQf1FuJyzTkwApDwEk42gro5LDyq,,False
https://drive.google.com/drive/folders/16K4NcDG5FnANTY3ZUs47r3DpsDbyRxXa,,False
https://drive.google.com/drive/folders/1d4sWcIKw1TdNdW0IYThaoq4O-A9u8Vj-,,False
https://drive.google.com/drive/folders/1j9b_LzcEsJgJWrnipHz864NoiUAXZOZG,,False
https://drive.google.com/drive/folders/1jVI-_YX5E3nhdwUIGPRJb-Ijj7V6beaQ,,False
https://drive.google.com/drive/folders/17TjcuqorxC8mzkBMDlij_jaqoA-1uL7I,,False
https://drive.google.com/drive/folders/1145pGKVCQdjxec80C4h1NpDUMzfZw2a5,,False
https://drive.google.com/drive/folders/1KF3LbisMyEYZM7Nl3LXtHQIlQMFTWj4l,,False
https://drive.google.com/drive/folders/1G0k853RgY5qiKxrMBGbubDpmHgSLj6J-,,False
https://drive.google.com/drive/folders/1u-MPndDHN-0FehJq0X7GIZo_z8rm6F5m,,False
https://drive.google.com/drive/folders/17FgLJB6prooEp9eDm8SSvNLR4q6CQWwl,,False
https://drive.google.com/drive/folders/1HNAhyLZcMOJHgMof_B2MiIXnmoNphO1Y,,False
https://drive.google.com/drive/folders/1rkWyRc2oX-z0A1SAzkILVSkyjtBk87xv,,False
https://youtu.be/LvldvQp-K8k,,False
https://drive.google.com/drive/folders/1EuhFvArYvDufSKAQbKRVZcDsvuvZLk7s,,False
https://drive.google.com/drive/folders/1hsSLdR2EtZ1JN56RAhh_wQHEXO_TsK7l,,False
https://drive.google.com/drive/folders/1Me8AfPPBbKMvTLWxetGLcottMAcpDmB4,,False
https://drive.google.com/drive/folders/1MJnjMgMHENgHOk1rTuFyz9KHiEfq3j6s,,False
https://drive.google.com/drive/folders/1odyCAGXSQ5E02QCuVbCTDsDd3JZczAro,,False
https://drive.google.com/drive/folders/1d5PdNEH5KEheuN5Nw5MLNliMNqdkbvkL,,False
https://drive.google.com/drive/folders/1uFVShk5KYH59rUzycXtzLqJJvPDXk2I8,,False
https://k-florek.net/talks/2023-02-22-cloud-computing-cg/index.html,html,False
https://drive.google.com/drive/folders/1NWXTqwM-fu5uuG4Ix_yivmEieKD6NwPH,,False
https://drive.google.com/drive/folders/1cOURcH9xLXbx7Ze0ApQj7h59RdmZn2xk,,False
https://drive.google.com/drive/folders/19Zdi7w7q61TSBpKolkKiTpsEt2SO5IHB,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://drive.google.com/drive/folders/1uQtGOqDv-SWg4qt51rUQ5HKB_KC_tc-U,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://drive.google.com/drive/folders/1ouDedcyeR2iR5nxaf2Ldl_aut4fjEjiM,,False
https://drive.google.com/drive/folders/1OzruhgPbo04CD-oBKnbofXN6tKnJEQ55,,False
https://drive.google.com/drive/folders/1u0E-eXKeGdx6rMKY8xaAHlnQaD2KS6YF,,False
